img	ruler pixel/cm
1-3-1.png	80.796535
1.1.png	151.447681
1.17-2.png	163.220709
1.22-2.png	272.542107
1.png	209.687386
10-26-2.png	220.459180
10.11-2.png	151.585224
10.12.png	55.806810
10.13-1.png	151.962101
10.15.png	83.337173
10.2-1.png	233.897862
10.23-1.png	192.418138
10.23.png	219.293411
10.27.png	196.654418
10.29.png	197.118492
10.9-1.png	148.210020
10.9-2.png	143.707829
10.9.png	156.180184
11-1-2.png	247.342677
11-23-1.png	110.114486
11-30-5.png	159.686192
11.13.png	263.179520
11.16-1.png	213.930292
11.2-2.png	123.517853
11.20-1.png	140.771943
11.3-2.png	320.168955
11.3.png	164.916949
11.6-1.png	122.688263
11.9-1.png	86.088908
11.9-2.png	97.244251
12-15-3.png	126.635540
12-4-2.png	188.722548
12.2-4.png	210.300856
12.28-1.png	240.447915
12.4-1.png	288.375536
16.6.7-12dian1.7cmqianxing.png	117.345643
17.5.3 quanyu.png	54.700000
18.11.19-1.png	154.802067
18.11.23-1.png	197.210142
18.12.28-4.png	52.943838
18.12.30-1.png	157.193639
1947320611.png	120.073478
1ed726103bf5a5433bf8c85bd28a6b1.png	223.858102
2.24.png	192.005859
2.27-4.png	214.800372
2.5-1.png	167.434525
2.png	364.414050
2017-05-31 103001.png	214.205252
2017-7-19-2.png	170.689455
2017-8-18-1.png	192.123944
2018-1-1-1.png	131.128334
2018-2-2-1.png	187.577744
21.1.6-1.png	121.009752
26-1.png	216.269831
26-3.png	215.662700
3.22.png	120.253898
3.5-1.png	146.737112
37d0bc78ffa77ebe7d7301112c19f68.png	196.888192
4-20-2.png	235.838334
4-4-3.png	49.503636
4.11-1.png	252.744931
4.11-2.png	403.744474
4.12-1.png	372.825750
4.14quanyu.png	213.263405
4.19-1.png	166.942655
4.2,.png	202.058209
4.23-1.png	181.207064
4.24-1.png	151.425889
4.26-2.png	185.652148
4.27-3.png	98.042899
4.28-1.png	294.022040
4.28-2.png	298.643868
4.3-1.png	148.087001
4.4-1.png	173.443853
4.5-1.png	201.558924
4.8-2.png	149.236055
4.9-2.png	191.260242
5.10-1.png	171.820400
5.11..png	266.497280
5.12-1.png	199.279954
5.16-2.png	156.350887
5.17chaichufengheqi-1.png	196.006531
5.18.png	163.131849
5.20-3.png	321.596782
5.27-2.png	219.671391
5.28tangdan.png	79.633724
5.29-2.png	101.448115
5.30-1jianquhuaisipibanqian.png	131.050906
5.30-5.png	137.388791
5.31-2.png	200.253090
5.4-1.png	221.559292
5.9-1.png	76.947580
6-20.png	235.736824
6-28-2.png	211.791076
6.11-1.png	196.544194
6.11.png	192.993290
6.12-1.png	199.542677
6.14-1.png	140.030854
6.14-2.png	103.427849
6.17-2.png	114.918623
6.20-1.png	194.020205
6.22-1.png	158.677030
6.24-1.png	183.324848
6.3-1.png	213.371413
6.5-2.png	141.050346
