img	ruler pixel/cm
1.1.png	151.2
10.29.png	195.6
11-30-5.png	162.8
11.16-1.png	210
12-4-2.png	192.6
16.6.7-12dian1.7cmqianxing.png	116.8
18.11.23-1.png	196.4
18.12.30-1.png	157.3
2017-8-18-1.png	181.8
4.8-2.png	150.7
6.17-2.png	115.2
8.14-2.png	89.4
8.20-1.png	171.1
IMG_1582.png	46.5
PIC_20160214_145603_41B.png	42.2
